section,manifest_item,requested_unique_count,priority,asset_ids_or_files,status
1 캐릭터/아바타,남성 캐릭터(리깅용 T-pose),1,MVP,CHAR_MALE_001,included
1 캐릭터/아바타,여성 캐릭터(리깅용 T-pose),1,MVP,CHAR_FEMALE_001,included
1 캐릭터/아바타,의상/헤어 변형,5,Later,CHAR_AVATAR_VARIANT_001; CHAR_AVATAR_VARIANT_002; CHAR_AVATAR_VARIANT_003; CHAR_AVATAR_VARIANT_004; CHAR_AVATAR_VARIANT_005,included
1 캐릭터/아바타,애니메이션 idle/walk/sit/typing,4,MVP,animations/static_pose_previews/* + animation-manifest.json,pose_reference_included__skeletal_export_after_rigging
2 워크스테이션,책상 — 1인 표준(파티션 포함),1,MVP,DESK_STANDARD_001,included
2 워크스테이션,책상 — L형 코너,1,Later,DESK_L_CORNER_001,included
2 워크스테이션,책상 — 벤치형(2인),1,Later,DESK_BENCH_2P_001,included
2 워크스테이션,오피스 체어 — 태스크(메쉬),1,MVP,CHAIR_TASK_MESH_001,included
2 워크스테이션,오피스 체어 — 임원(하이백 가죽),1,Later,CHAIR_EXECUTIVE_001,included
2 워크스테이션,게스트 체어(팔걸이),1,Later,CHAIR_GUEST_001,included
2 워크스테이션,스툴(높은 의자),1,Later,STOOL_HIGH_001,included
3 회의실,회의 테이블 — 대(8인),1,MVP,TABLE_MEETING_LARGE_001,included
3 회의실,회의 테이블 — 소(4인),1,Later,TABLE_MEETING_SMALL_001,included
3 회의실,회의 의자,1,MVP,CHAIR_MEETING_001,included
3 회의실,유리 파티션/유리벽 + 유리문,2,MVP,GLASS_PARTITION_001; GLASS_DOOR_001,included
3 회의실,화이트보드 — 벽걸이,1,MVP,WHITEBOARD_WALL_001,included
3 회의실,화이트보드 — 이동식(바퀴),1,Later,WHITEBOARD_MOBILE_001,included
3 회의실,벽걸이 대형 디스플레이/TV,1,MVP,TV_WALL_001,included
4 라운지,소파 — 3인,1,MVP,SOFA_3SEAT_001,included
4 라운지,소파 — 2인 / 1인 라운지체어,2,Later,SOFA_2SEAT_001; LOUNGE_CHAIR_001,included
4 라운지,커피 테이블,1,MVP,TABLE_COFFEE_001,included
4 라운지,사이드 테이블,1,Later,TABLE_SIDE_001,included
4 라운지,러그(카펫),2,Later,RUG_RECT_001; RUG_RECT_002,included
5 리셉션/로비,리셉션 데스크,1,MVP,DESK_RECEPTION_001,included
5 리셉션/로비,브랜드월(로고 벽 / 목재 슬랫),1,MVP,WALL_BRAND_001,included
5 리셉션/로비,대기 벤치/소파,1,Later,BENCH_WAITING_001,included
5 리셉션/로비,스탠딩 사이니지,1,Later,SIGNAGE_STANDING_001,included
6 집중실/폰부스,폰부스(1인 밀폐),1,Later,PHONEBOOTH_001,included
6 집중실/폰부스,집중석 포드,1,Later,FOCUS_POD_001,included
6 집중실/폰부스,어쿠스틱 패널,1,Later,ACOUSTIC_PANEL_001,included
7 탕비실/카페,정수기,1,MVP,WATER_DISPENSER_001,included
7 탕비실/카페,커피 머신,1,Later,COFFEE_MACHINE_001,included
7 탕비실/카페,팬트리 카운터/바,1,Later,PANTRY_COUNTER_001,included
7 탕비실/카페,바 스툴,1,Later,BAR_STOOL_001,included
7 탕비실/카페,냉장고 / 전자레인지,2,Later,FRIDGE_001; MICROWAVE_001,included
